country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Seychelles,,,,,,,,,,,,,82.9,,,,,,,87,,,,,,,,91.4,,,,,,,,,91.4
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6,,,,,,,54.6
Singapore,,,,,,91.6,,,,,,,,,,95.1,,,,,,,,,,96.6,,,,,,,,,,98,
Slovenia,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,,,,99.7,,,,,,,99.7
South Africa,,,,,,77.5,,,,,,,,,,,,,,,,84.1,,,,,,,,,,,90.7,,,,93.9
Spain,,,,,,,95.9,,,,,,,,,,98,,,,,,,,,,,,,,98.6,,98.6,98.4,98.5,98.5,
Sri Lanka,,,,,,,91.3,,,,,,,,,,,,,,,,,,,,92.3,,,,,92.7,,92.2,,92.6,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,,,,,,,,,,,80.7
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,95.5,,95.4,
Swaziland,,57.4,,,,,,,,,,69.7,,,,,,,,,,,,,,83.2,,,,,,,,,,,88.4
Syria,,,,,,,73.6,,,,,,,,,,,,,,,,,,,,,91,,87.8,,,,,,,90.3
Tajikistan,,,,,,,,,,,,,,,98.8,,,,,,,,,,,99.7,,,,,,,,,,,99.8
Tanzania,,,,,,,,,,,,,,71.4,,,,,,,,,,,,,,77.5,,,,,,,,75.5,
Thailand,,,,,,92.2,,,,,,,,,,,,,,,,,,,,94.9,,,,,95.6,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,,,,,,58.5,,,63.6,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,,,,,,70.3,,,71.2,,74.1
Tonga,,99.7,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,,,,99,,,,,
Trinidad and Tobago,,,,,,96.5,,,,,,,,,,98,,,,,,,,,,,,,,99,,,,,,,99.2
Tunisia,,,,,,,,,,60.4,,,,,,,,,,70.2,,,,,,,,,,83.4,,,86,86.4,,87.4,
Turkey,77.5,,,,,81.5,,,,,87.6,,,,,89.8,,,,,,,,,,,,,,95.3,96,96,96.2,,96.4,97.3,97.9
Turkmenistan,,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,99.7
Uganda,,,,,,,,,,,,,,,,,68.2,,,,,,,,,,,78.3,,,,81.4,,,,82.6,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8
United Arab Emirates,58.4,,,,,,,,,,72.3,,,,,,,,,,,,,,,,,,,,89.5,,,,,,
Uruguay,93.4,,,,,,,,,,94.8,,,,,,,,,,,96.2,,,,,,,,,,97.4,97.4,97.8,97.6,97.6,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,,,99.6
Vanuatu,,,,,57.3,,,,,,,,,,,,,,,71.3,,,,,,,,,,80.1,,,,,,,84.8
Venezuela,,,,,,,86.5,,,,,,,,,90.7,,,,,,,,,,,93.3,,,,,,95.4,,95.7,,
Vietnam,,,,,90.4,,,,,,,,,,93,,,,,,,,,,93.9,93.9,,,,,,,,,,,95.4
Yemen,,,,,,,,,,,,,,,,,,,,56.7,,,,,,,,,,74.3,,,,,,,82.1
Zambia,,,,,,,,,,,,,,,,73,,,,,,,,,76.3,,,80.9,,,,,72,,,,
Zimbabwe,,,,,,,,84.2,,,,,,,,,,88.9,,,,,,,,,,,,,,,,,,,87.8
